icao_code;iata_code;gps_code;Lat;Long
EBBR;BRU;EBBR;50,901402;4,48444
EBCI;CRL;EBCI;50,460982;4,457158
EBKT;KJK;EBKT;50,818878;3,209551
EBLG;LGG;EBLG;50,638574;5,443897
EBOS;OST;EBOS;51,1998;2,874673
EBZR;OBL;EBZR;51,269092;4,762428
EDAC;AOC;EDAC;50,981945;12,506389
EDAH;HDF;EDAH;53,8787;14,1523
EDAU;IES;EDAU;51,29361;13,356111
EDAX;REB;EDAX;53,306389;12,752222
EDBC;CSO;EDBC;51,8564;11,4203
EDBH;BBH;EDBH;54,338253;12,710515
EDBN;FNB;EDBN;53,6022;13,306
EDCG;GTI;EDCG;54,38347;13,325542
EDCK;KOQ;EDCK;51,723745;11,948826
EDCP;PEF;EDCP;54,15778;13,774444
EDDB;BER;EDDB;52,362247;13,500672
EDDC;DRS;EDDC;51,134123;13,767831
EDDE;ERF;EDDE;50,979801;10,9581
EDDF;FRA;EDDF;50,030241;8,561096
